SL No.,State/UT Name,District Name,Mine Name,Coal/ Lignite Production (MT) (2019-2020),Coal Mine Owner Name,Coal/Lignite,Govt Owned/Private,Type of Mine (OC/UG/Mixed),Latitude ,Longitude ,Source,Accuracy (exact vs approximate),
302,Chhattisgarh,Korba,RAJGAMAR 4&5,0.13,SECL,Coal,G,UG,22.3708,82.8681,"Half Yearly Compliance Report of E.C. Conditions, December 2017: http://environmentclearance.nic.in/writereaddata/Compliance/29_Jan_2018_111736083FAH1HXEMSECL_10267_19.1.18.pdf",Exact,
303,Chhattisgarh,Korba,SURAKACHHAR MAIN,0.19,SECL,Coal,G,UG,22.365,82.6306,"Minutes of the 48th meeting of the Expert Appraisal Committee held on 3-4 October, 2019: http://environmentclearance.nic.in/writereaddata/Form-1A/Minutes/14102019IB0QM5DMFinalApprovedMoMof48EAC.pdf",Exact,
304,Chhattisgarh,Korba,SURAKACHHAR 3&4,0.1,SECL,Coal,G,UG,22.368,82.6315,"Google Maps: https://www.google.ca/maps/place/Surakachhar+Coalmines,+Surakachhar,+Chhattisgarh+495452,+India/@22.3678062,82.6310545,18z/data=!4m13!1m7!3m6!1s0x3a278bef0704dfd9:0x5449b9505b2162f1!2sSurakachhar,+Chhattisgarh+495452,+India!3b1!8m2!3d22.3701756!4d82.6307869!3m4!1s0x3a278bf18b097ee7:0xba7981528c9d2687!8m2!3d22.3679854!4d82.6314622",Approximate: coordinates of general Surakachhar mines area,
305,Chhattisgarh,Korba,BALGI,0.12,SECL,Coal,G,UG,22.3672,82.6425,Summary on EIA/EMP of Balgi Underground Project for Public Hearing: https://enviscecb.org/113/Balgi%20PH_Eng_.pdf,Exact,
306,Chhattisgarh,Korba,DHELWADIH,0.2,SECL,Coal,G,UG,22.4616,82.5634,"Google Maps: https://www.google.ca/maps/place/Dhelwadih+Mine+Office/@22.4615665,82.5611374,689m/data=!3m2!1e3!4b1!4m5!3m4!1s0x3988201d3f3a3a2f:0x754ee06c02a8a2c1!8m2!3d22.4615616!4d82.5633261",Exact,
307,Chhattisgarh,Korba,SINGHALI,0.38,SECL,Coal,G,UG,22.4406,82.5679,"Google Maps: https://www.google.ca/maps/place/Singhali+Coal+Mine,+Singhali,+Chhattisgarh+495445,+India/@22.4408577,82.566373,689m/data=!3m2!1e3!4b1!4m5!3m4!1s0x3a278aaea2fd7d01:0x42a6f7743da6e950!8m2!3d22.4406158!4d82.5679487",Exact,
308,Chhattisgarh,Korba,BAGDEVA,0.39,SECL,Coal,G,UG,22.3863,82.535,"Summary of EIA of Bagdewa Underground Project for Public Hearing: https://enviscecb.org/Bagdeva%20Underground%20Project,SECl,%20Korba/English%20Summary.pdf",Exact,
309,Chhattisgarh,Korba,MANIKPUR,4.9,SECL,Coal,G,OC,22.3208,82.725,Manikpur Opencast Expansion Project Executive Summary of EIA/EMP Report for Public Consultation: https://enviscecb.org/299/English.pdf,Exact,
310,Chhattisgarh,Korba,SARAIPALLI,0,SECL,Coal,G,OC,22.37316576,82.32282999,"Google Maps: https://www.google.com/maps/place/Saraipali,+Chhattisgarh+495449,+India/@22.3724507,82.3142135,3504m/data=!3m2!1e3!4b1!4m5!3m4!1s0x3a27f912db58aa6b:0x8d659aaa6fa52fbe!8m2!3d22.3724513!4d82.3229897",Approximate: Saraipalli area,
311,Chhattisgarh,Korba,KUSMUNDA,42.33,SECL,Coal,G,OC,22.3067,82.6732,"Environmental Clearance, Expansion of Kusmunda Opencast Coal Mine Project: http://environmentclearance.nic.in/writereaddata/form-1a/ec/020320161letterofkusmundaoc.pdf",Exact,
312,Chhattisgarh,Korba,GEVRA OC,45,SECL,Coal,G,OC,22.3308,82.5958,Project Report for Gevra OC Expansion: http://environmentclearance.nic.in/writereaddata/Online/TOR/25_Nov_2016_160005180Z7BUY8M9PRExecutivesummery.pdf,Exact,
313,Chhattisgarh,Korba,DIPKA,25.18,SECL,Coal,G,OC,22.3225,82.5363,"EIA & EMP for Peak Capacity of Existing, Approved Dipka OCP: http://environmentclearance.nic.in/writereaddata/EIA/31102014PJRZBJV2eiaempdipkaocClause7[ii].pdf",Exact,
314,Chhattisgarh,Korba,Chotia opencast coal mine (CAPTIVE),1,BALCO (Vedanta Group),Coal,P,OC,22.8556,82.5372,"Pre-feasibility Report for Production Capacity Expansion, Chotia-II Sub Block of Chotia Coal Mine: http://environmentclearance.nic.in/writereaddata/Online/TOR/0_0_12_Aug_2015_1316237631PrefeasibilityReport(PFR).pdf",Exact,
315,Chhattisgarh,Raigarh,CHHAL ,1.47,SECL,Coal,G,OC,22.0926,83.1278,Project Report for Chhal OC: http://environmentclearance.nic.in/DownloadPfdFile.aspx?FileName=cf5uPgJ9MSnvIJquUSvmwsT04kQ9qHfcgiFzOw0QJEakxw+zNhpbKxl2D7uWMUHp412zHGuVyC9TISoOMHUjWLSdV7wfPfmlEI48YFXHiYo+gS/zmKGQODeCuqSDsmxf&FilePath=93ZZBm8LWEXfg+HAlQix2fE2t8z/pgnoBhDlYdZCxzXmG8GlihX6H9UP1HygCn3pCkAF2zPFXFQNqA4krKa1Aw==,Exact,
316,Chhattisgarh,Raigarh,BAROUD,2.7,SECL,Coal,G,OC,22.2678,83.3457,"Google Maps: https://www.google.ca/maps/place/South+Eastern+Coalfields+Limited+Baroud+Gharghoda+Raigarh+(C.G)/@22.2655367,83.3361479,2779m/data=!3m1!1e3!4m5!3m4!1s0x3a274498118fb6b3:0x823b5cad922ae13f!8m2!3d22.2676698!4d83.3455422",Exact,
317,Chhattisgarh,Raigarh,JAMPALI,2.24,SECL,Coal,G,OC,22.2843,83.3025,"Environmental Clearance, Jampali OCP: http://environmentclearance.nic.in/writereaddata/Form-1A/EC/022120141JampaliOCP_EC.pdf",Exact,
318,Chhattisgarh,Raigarh,BIJARI,1.65,SECL,Coal,G,OC,20.1528,83.2133,"Environmental Clearance, Bijari OCP: http://environmentclearance.nic.in/writereaddata/Form-1A/EC/081120151ECletterofBijariOCPofSECL.PDF",Exact,
319,Chhattisgarh,Raigarh,GARE PALMA IV/1 (CAPTIVE),0.76,SECL,Coal,G,OC,22.1125,83.5469,Gare Palma IV/1 Mine - MSTC E-commerce (Compiled Summary),Exact,
320,Chhattisgarh,Raigarh,GARE PALMA IV/2&3 (CAPTIVE),2.66,SECL,Coal,G,OC,22.1199,83.5362,"Google Maps: https://www.google.ca/maps/place/Gare+Palma+IV-2+Opencast+Coal+Mine,+Kosampali,+Chhattisgarh+496107,+India/@22.1220345,83.5175849,5526m/data=!3m1!1e3!4m5!3m4!1s0x3a274a7122808f6d:0x4816138f40b7bb6a!8m2!3d22.1196024!4d83.5363359",Exact,
321,Chhattisgarh,Raigarh,GARE PALMA V/4 (CAPTIVE),0.548,HIL,Coal,P,OC,22.15,83.5415,Gare Palma IV/4 Mine - MSTC E-commerce (Compiled Summary),Exact,
322,Chhattisgarh,Raigarh,GARE PALMA IV/5 (CAPTIVE),0.126,HIL,Coal,P,OC,22.1621,83.5321,"Google Maps: https://www.google.ca/maps/place/Gare+Palma+Coal+Mines+IV%2F5/@22.1620983,83.5299248,691m/data=!3m2!1e3!4b1!4m5!3m4!1s0x3a274be10ca2f91b:0x61487e3a33c11938!8m2!3d22.1620933!4d83.5321135",Exact,
323,Chhattisgarh,Raigarh,Gare Palma IV/8 (CAPTIVE),0.407,AMBUJA,Coal,P,OC,22.1708,83.4944,"Google Maps: https://www.google.ca/maps/place/Ambuja+Cements+Gare+Palma+IV%2F8+Site+Office/@22.1719057,83.4929918,1373m/data=!3m1!1e3!4m8!1m2!2m1!1sgare+palma+iv-4!3m4!1s0x3a27496faf8d4cdb:0xdfa825d0c11f54b9!8m2!3d22.1706897!4d83.4943188",Exact,
324,Chhattisgarh,Raigarh,Talaipalli coal mine,0.19,NTPC,Coal,P,OC,22.1765,83.3551,"Google Maps: https://www.google.ca/maps/place/Ntpc+Talaipalli+Coal+Mining+Office/@22.176588,83.355296,298m/data=!3m1!1e3!4m5!3m4!1s0x3a2746bfa12bad51:0xa450cc82674b978c!8m2!3d22.1764677!4d83.3550726",Approximate: coordinates of NTPC Talaipalli Coal Mining Office,
325,Madhya Pradesh,Anuppur,RAJNAGAR R.O.,0.27,SECL,Coal,G,UG,23.1897,82.132,"Google Maps: https://www.google.ca/maps/place/Hospital+Rajnagar/@23.1912715,82.1280535,1378m/data=!3m1!1e3!4m5!3m4!1s0x39862b546998477f:0xb82f9b80a7f7f4b5!8m2!3d23.1895682!4d82.1320537",Approximate: coordinates of nearby hospital in Rajnagar area,
326,Madhya Pradesh,Anuppur,JHIRIA,0.22,SECL,Coal,G,UG,23.1523,82.1511,"Google Maps: https://www.google.ca/maps/place/Jhiria+Ug+Mine/@23.1522787,82.1336832,5467m/data=!3m1!1e3!4m12!1m6!3m5!1s0x3987d578a1aa7655:0xb5adc3ddf958f6db!2sJhiria+Ug+Mine!8m2!3d23.1522738!4d82.1511678!3m4!1s0x3987d578a1aa7655:0xb5adc3ddf958f6db!8m2!3d23.1522738!4d82.1511678",Exact,
327,Madhya Pradesh,Anuppur,BIJURI,0.22,SECL,Coal,G,UG,23.2588,82.1216,"Google Maps: https://www.google.ca/maps/place/Bijuri+collery/@23.2587992,82.1205538,344m/data=!3m1!1e3!4m5!3m4!1s0x39862c0c888bf363:0xadf1cbc4d8d65bad!8m2!3d23.2587943!4d82.1216487",Exact,
328,Madhya Pradesh,Anuppur,BEHERABAND,0.56,SECL,Coal,G,UG,23.3,82.1,"Beherabandh North Extention Block, Ministry of Coal: https://coal.nic.in/sites/upload_files/coal/files/curentnotices/18-10-2016-b.pdf",Exact,
329,Madhya Pradesh,Anuppur,KURJA/ SHEETALDHARA,0.33,SECL,Coal,G,UG,23.2398,82.1132,"Google Maps: https://www.google.ca/maps/place/Kurja+Underground+Mines,+Kotma+M+Part,+Madhya+Pradesh+484446,+India/@23.2394631,82.1116823,685m/data=!3m1!1e3!4m13!1m7!3m6!1s0x39862c645de6abf3:0x9e51669683707b5a!2sKurja+Underground+Mines,+Kotma+M+Part,+Madhya+Pradesh+484446,+India!3b1!8m2!3d23.2397242!4d82.1132129!3m4!1s0x39862c645de6abf3:0x9e51669683707b5a!8m2!3d23.2397242!4d82.1132129",Exact,
330,Madhya Pradesh,Anuppur,KAPILDHARA,0.39,SECL,Coal,G,UG,23.1774699,82.19694531,"Google Maps: https://www.google.com/maps/place/Office+of+CGM,+Hasdeo+Area,+SECL/@23.1771999,82.1960913,293m/data=!3m1!1e3!4m5!3m4!1s0x3987d54899383f35:0xc20befb3ea5b9284!8m2!3d23.1773967!4d82.1969401",Approximate: Hasdeo area where mine is located,
331,Madhya Pradesh,Anuppur,RAJNAGAR,0,SECL,Coal,G,OC,23.2117,82.1269,"Application for Form-I, Rajnagar Opencast Coal Mine Project: http://environmentclearance.nic.in/writereaddata/modification/previousTOR/15092018BSKR70QYForm-I.pdf",Exact,
332,Madhya Pradesh,Anuppur,JAMUNA 1 & 2,0.15,SECL,Coal,G,UG,23.1681,81.9424,"Google Maps: https://www.google.ca/maps/place/1+%26+2+Mines,+Jamuna+Colliery,+Madhya+Pradesh+484444,+India/@23.1679587,81.9391482,682m/data=!3m1!1e3!4m12!1m6!3m5!1s0x3987cbc96b3d8ca7:0x3bc7f1dcc73e9d34!2sVocational+Training+Center,+Jamuna+Kotma!8m2!3d23.1625962!4d81.946016!3m4!1s0x3987cb4e2ee1c0cb:0x1b163c43ad059c73!8m2!3d23.1680401!4d81.9424",Exact,
333,Madhya Pradesh,Anuppur,JAMUNA 9 &10,0.19,SECL,Coal,G,UG,23.1631,81.9324,"Google Maps: https://www.google.ca/maps/place/SECL+Hospital/@23.1658582,81.9260072,1368m/data=!3m1!1e3!4m8!1m2!2m1!1s9,+Jamuna+colliery,+Jamuna+Colliery,+Madhya+Pradesh,+India!3m4!1s0x0:0xb7852ca2b862940e!8m2!3d23.1631366!4d81.9323619",Approximate: coordinates of nearby hospital in Jamuna area,
334,Madhya Pradesh,Anuppur,MEERA,0.14,SECL,Coal,G,UG,23.1863,81.9797,Scheme for Meera UG Mine for Obtaining Environmental Clearance for Renewal of Mining Lease: http://environmentclearance.nic.in/writereaddata/Online/TOR/0_0_02_May_2015_1135087771MeeraUG-SchemeLeaserenewal.pdf,Exact,
335,Madhya Pradesh,Anuppur,BARTARAI / AMADAND,0.28,SECL,Coal,G,UG,23.1368,82.0657,"Google Maps: https://www.google.ca/maps/place/Bartarai+colliery/@23.1367765,82.0634766,686m/data=!3m2!1e3!4b1!4m5!3m4!1s0x3987d3f7397f733d:0x86e08ad540a962c4!8m2!3d23.1367716!4d82.0656653",Exact,
336,Madhya Pradesh,Anuppur,BHADRA 7 / 8,0.08,SECL,Coal,G,UG,23.1889,81.9324,"Google Maps: https://www.google.ca/maps/place/Sub+Area+Office+Bhadra+Colliery/@23.1894659,81.9314581,340m/data=!3m1!1e3!4m13!1m7!3m6!1s0x398634c7bbffb529:0xc01454f1555de77a!2sBhadra+Colliery,+Madhya+Pradesh,+India!3b1!8m2!3d23.1900781!4d81.9289285!3m4!1s0x398634b9f4ab1d39:0x2ba14ebaabebd30f!8m2!3d23.1889037!4d81.932384",Approximate: coordinates of Sub Area Office Bhadra Colliery,
337,Madhya Pradesh,Anuppur,AMADAND,1.64,SECL,Coal,G,OC,23.1436,82.0579,Revised Project Report for Amadand OC Project: http://environmentclearance.nic.in/writereaddata/Online/TOR/31_Oct_2017_180854377EJN6U5MORPRFORAMADANDOC.pdf,Exact,
338,Madhya Pradesh,Shahdol,DHANPURI,1.15,SECL,Coal,G,OC,23.1541,81.5843,"Google Maps: https://www.google.ca/maps/place/Dhanpuri+Open+Cast+Mine,+SECL/@23.1540984,81.5821562,686m/data=!3m2!1e3!4b1!4m5!3m4!1s0x398654ca8e1a093d:0xd16675e2d2f3cb11!8m2!3d23.1540935!4d81.5843449",Exact,
339,Madhya Pradesh,Shahdol,RAJENDRA,0.24,SECL,Coal,G,UG,23.1531,81.491,"Rajendra Underground Mine, Application for Form - I: http://environmentclearance.nic.in/writereaddata/modification/previousTOR/21092018NPXTZQ4Aform-1rajendraUG.pdf ",Exact,
340,Madhya Pradesh,Shahdol,BANGWAR ,0.65,SECL,Coal,G,UG,23.1542,81.5361,"Bangwar Underground Mine, Application for Form - I: http://environmentclearance.nic.in/writereaddata/modification/previousTOR/06092018IOKJ5BICBangwarFormI.PDF",Exact,
341,Madhya Pradesh,Shahdol,DAMINI,0.22,SECL,Coal,G,UG,23.145,81.4633,"Environment Clearance, Monitoring of Damini Coal Project: http://environmentclearance.nic.in/writereaddata/Monitoring/32_3-10-4.pdf",Exact,
342,Madhya Pradesh,Shahdol,KHAIRAHA,0.82,SECL,Coal,G,UG,23.1543,81.4589,"Mining Plan, Khairaha Underground Mine: http://forestsclearance.nic.in/writereaddata/FormA/Miningletter/9118121612167RDE3kahirhaminingplan.pdf",Exact,
343,Madhya Pradesh,Shahdol,SHARDA HIGHWALL,0.84,SECL,Coal,G,UG,23.2084,81.5896,"Google Maps: https://www.google.ca/maps/place/Sharda+Open+Cast+Mine,+SECL/@23.2051654,81.5760976,5500m/data=!3m1!1e3!4m8!1m2!2m1!1ssharda!3m4!1s0x0:0xdee0c0d786c30c86!8m2!3d23.2080508!4d81.589762",Approximate: coordinates of Sharda OC Mine,
344,Madhya Pradesh,Shahdol,AMLAI,1.31,SECL,Coal,G,OC,23.1502,81.5514,"Google Maps: https://www.google.ca/maps/place/AMLAI+OPEN+CAST+MINE+WORKSHOP/@23.1481544,81.5479573,2731m/data=!3m1!1e3!4m5!3m4!1s0x3987abc7219c9939:0x4440293a571de9f1!8m2!3d23.1499417!4d81.5513313",Approximate: coordinates of Amlai OC Mine machine workshop,
345,Madhya Pradesh,Umaria,PALI   UG,0.13,SECL,Coal,G,UG,23.5863,80.7501,"Google Maps: https://www.google.ca/maps/place/Pali,+Madhya+Pradesh+484660,+India/@23.5843859,80.7251631,14z/data=!4m5!3m4!1s0x3986c98e8098f887:0xc79b6eeff3aa4102!8m2!3d23.5881278!4d80.7491563",Approximate: central coordinates of Pali area,
346,Madhya Pradesh,Umaria,NOWROZABAD(W),0.06,SECL,Coal,G,UG,23.3588,80.989,Scheme for Preparation of EMP in respect of Nowrozabad Underground Mine of Johilla Area: http://environmentclearance.nic.in/DownloadPfdFile.aspx?FileName=f4JDGvSjg1V4Eu46sGDGRNG765DJEACJmYeCDzZbyqI8FuzxUrmI2NoW0PvTVcebjiw2/K38M6cEIuk81uKurF3Nz1fgmclV/gdN+Oe90l+yJUEkw1u0U+9Y0Uh0QwCg&FilePath=93ZZBm8LWEXfg+HAlQix2fE2t8z/pgnoBhDlYdZCxzXmG8GlihX6H9UP1HygCn3pCkAF2zPFXFQNqA4krKa1Aw==,Approximate,
347,Madhya Pradesh,Umaria,PINOURA,0.16,SECL,Coal,G,UG,23.339,80.936,"Google Maps: https://www.google.ca/maps/place/Pinoura+Coal+Mine/@23.338961,80.9338036,17z/data=!3m1!4b1!4m5!3m4!1s0x3986ce494821049f:0xb039d82867235e0!8m2!3d23.3389561!4d80.9359923",Exact,
348,Madhya Pradesh,Umaria,UMARIA,0.15,SECL,Coal,G,UG,23.525,80.8333,"Environment Clearance, Umaria Underground Mine, Form - I: http://environmentclearance.nic.in/writereaddata/modification/PreviousTOR/05092018TP36KG5OForm1Umaria.pdf",Exact,
349,Madhya Pradesh,Umaria,PIPARIA,0.07,SECL,Coal,G,UG,23.5238,80.8622,"Environment Clearance, Piparia Underground Mine, Form - I: http://environmentclearance.nic.in/auth/FORM_A_PDF.aspx?cat_id=IA/MP/CMIN/81437/2018&pid=New",Exact,
350,Madhya Pradesh,Umaria,VINDHYA,0.16,SECL,Coal,G,UG,23.3356,80.9058,"Google Maps: https://www.google.ca/maps/place/Vindhya+Colliry/@23.3356027,80.9035724,17z/data=!3m1!4b1!4m12!1m6!3m5!1s0x3986ce73ebb61537:0x7ab1d9beb876efa8!2sVindhya+Ug+Coal+Mine!8m2!3d23.336603!4d80.905365!3m4!1s0x3986ce73a32c0fa3:0x60310e890d3e6ca3!8m2!3d23.3355978!4d80.9057611",Exact,
351,Madhya Pradesh,Umaria,KANCHAN OC,0.14,SECL,Coal,G,OC,23.3419,80.8626,Project Report for Kanchan OC Expn. Project: http://environmentclearance.nic.in/writereaddata/Online/TOR/11_Jun_2018_1554134277BHUY4DLExeSummaryforKanchan.pdf,Exact,
352,Orissa,Angul ,TALCHER,0,MCL,Coal,G,UG,20.91234,85.114509,"https://www.google.com/maps/@20.9441339,85.1947662,792m/data=!3m1!1e3",Approx ,
353,Orissa,Angul ,NANDIRA,0.085,MCL,Coal,G,UG,20.92738,85.124509,https://www.industryabout.com/country-territories-3/743-india/coal-mining/7771-nandira-coal-mine,Exact,
354,Orissa,Angul ,DEULBERA,0,MCL,Coal,G,UG,20.9513,85.2069,https://www.google.com/search?q=deulbera+colliery+school+%2B+Latitude+%2B+Longitude&rlz=1C5CHFA_enCA783CA785&oq=deulbera+colliery+school+%2B+Latitude+%2B+Longitude&aqs=chrome..69i57j69i60l2.7034j0j1&sourceid=chrome&ie=UTF-8,Approx (Colliery School),
355,Orissa,Angul ,HANDIDHUA,0,MCL,Coal,G,UG,20.94553,85.19856,"https://www.google.com/maps/@20.9441339,85.1947662,792m/data=!3m1!1e3",Approx ,
356,Orissa,Angul ,BHARATPUR,4.781,MCL,Coal,G,OC,20.9604,85.1264,Pre-feasibility Report for Bharatpur OCP Expansion: http://www.environmentclearance.nic.in/writereaddata/modification/Amendment/Attach_file/04072018TDS1I7W9Annex-PFR_20_Bharatpur.pdf,Exact,
357,Orissa,Angul ,CHHENDIPARA,0,MCL,Coal,G,OC,21.0758,84.8769,"Google Maps: https://www.google.ca/maps/place/MCL,+Chhendipada,+Odisha+759124,+India/@21.0788137,84.8661768,2783m/data=!3m1!1e3!4m13!1m7!3m6!1s0x3a21fec42230eb19:0x2921739f7a61a0a2!2sChhendipada,+Odisha+759124,+India!3b1!8m2!3d21.085133!4d84.8750338!3m4!1s0x3a21fee7ff96ff5d:0xc37152d4db82f68e!8m2!3d21.0755329!4d84.8769861",Approximate,
358,Orissa,Angul ,HINGULA,6.582,MCL,Coal,G,OC,20.9531,85.0315,"Minutes of the 31st EAC (Thermal & Coal Mining Project) Meeting: http://environmentclearance.nic.in/writereaddata/Form-1A/Minutes/0_0_31130122112121MOMofFeb,2015.pdf",Exact,
359,Orissa,Angul ,BALRAM,5.234,MCL,Coal,G,OC,20.9514,85.0627,"Google Maps: https://www.google.ca/maps/place/Balram+OCP+Pit/@20.9513478,85.0604955,17z/data=!3m1!4b1!4m5!3m4!1s0x3a18ac4a83f7d6b5:0x7049425364f75ac7!8m2!3d20.9513428!4d85.0626842",Exact,
360,Orissa,Angul ,JAGANNATH,3.453,MCL,Coal,G,OC,20.9578,85.1424,Pre-feasibility Report for Jagannath OCP Expansion: http://environmentclearance.nic.in/writereaddata/Online/EDS/30_Jun_2017_200739850MHMZCF9PSupplementaryReply-JagannathOCPExpansion.pdf,Exact,
361,Orissa,Angul ,BHUBANESWARI,28,MCL,Coal,G,OC,20.9725,85.1732,"Application for Prior Environmental Clearance for Coal Mining Project of Bhubaneswari OC Expn. Project, Form - I: http://environmentclearance.nic.in/writereaddata/Form-1/17112017N9SQLHSQAnnex-FormI_PFR_AddendumEIA-EMP.pdf",Exact,
362,Orissa,Angul ,ANANTA,10.932,MCL,Coal,G,OC,20.94429,85.16593,"https://www.google.com/maps/place/Ananta+OCP+Project+Office/@20.9355328,85.1659489,3169m/data=!3m1!1e3!4m8!1m2!2m1!1stALCHER+COAL+Collieries+%2B+Underground+%2B+Latitude+%2B+Longitude!3m4!1s0x0:0x8f5fd4fb87dc103e!8m2!3d20.9439057!4d85.1640308",Exact,
363,Orissa,Angul ,LINGRAJ,14.007,MCL,Coal,G,OC,20.96289,85.21331,"https://www.google.com/maps/place/Lingaraj+Opencast+Project/@20.9535687,85.178051,9150m/data=!3m1!1e3!4m8!1m2!2m1!1stALCHER+COAL+Collieries+%2B+Underground+%2B+Latitude+%2B+Longitude!3m4!1s0x3a18b473cd4a0199:0x4cc33fedc89908fb!8m2!3d20.960583!4d85.2007046",Exact,
364,Orissa,Angul ,KANIHA,7.533,MCL,Coal,G,OC,21.0791,85.042,"Google Maps: https://www.google.ca/maps/place/Kaniha+OCP/@21.078967,85.041977,16z/data=!4m19!1m13!4m12!1m6!1m2!1s0x3a1f530d08303d81:0x14d2719e8ef7ea15!2sKaniha+Ocp+MCL,+Kaniha+-+Angul+Road,+Jarada,+Odisha,+India!2m2!1d85.0459489!2d21.0798282!1m3!2m2!1d85.0694444!2d21.0672222!3e0!3m4!1s0x0:0x9759ea4d3d52e45f!8m2!3d21.0786425!4d85.0408986",Exact,
365,Orissa,Jharsuguda,LAJKURA,2.84,MCL,Coal,G,OC,21.3214,83.9007,"Application for Prior Environmental Clearance for Coal Mining Project of Lajkura OCP Expansion, Form - I: http://environmentclearance.nic.in/writereaddata/EIA/25082014W31DT89Kannexureemp.pdf",Exact,
366,Orissa,Jharsuguda,SAMALESWARI,4.611,MCL,Coal,G,OC,21.3014,83.9032,EIA & EMP for Samaleswari OCP Expansion: http://environmentclearance.nic.in/writereaddata/EIA/2801201915YUGJXEEIAEMP.pdf,Exact,
367,Orissa,Jharsuguda,BELPAHAR,7.51,MCL,Coal,G,OC,21.75,83.8417,"Land Land Restoration/Reclamation Monitoring, Mahanadi Coalfields Limited, 2017: https://www.mahanadicoal.in/Environment/pdf/MCL_more_5mcm_Report_2017.pdf",Exact,
368,Orissa,Jharsuguda,LAKHANPUR,21,MCL,Coal,G,OC,21.7451,83.8401,Application for Prior Environmental Clearance for Coal Mining Project of Lakhanpur OCP Expansion: http://environmentclearance.nic.in/writereaddata/form-1/2014_5_22_May_2014_143226253_1A1A_47_Form-I&Pre-feasibilityReport20Mty.pdf,Exact,
369,Orissa,Jharsuguda,LILARI,0,MCL,Coal,G,OC,21.7786,83.8568,"Google Maps: https://www.google.ca/maps/place/Lilari+Ocp/@21.7792015,83.8549018,1385m/data=!3m1!1e3!4m13!1m7!3m6!1s0x0:0x0!2zMjHCsDQ0JzQyLjUiTiA4M8KwNTAnMjQuNSJF!3b1!8m2!3d21.7451389!4d83.8401389!3m4!1s0x3a20df301eeb97fb:0x8066432c855fd16b!8m2!3d21.7784458!4d83.8568153",Approximate,
370,Orissa,Jharsuguda,MINE NO. 1&2,0.314,MCL,Coal,G,UG,21.8331,83.9183,"Google Maps: https://www.google.ca/maps/place/Orient+Colliery+Mine+No-1%262,+MCL/@21.834227,83.9162032,691m/data=!3m1!1e3!4m12!1m6!3m5!1s0x3a20de0ec3efd1df:0x47c2a51b6890b7d7!2sOrient+Mine+1%262!8m2!3d21.8332365!4d83.9178986!3m4!1s0x0:0xddc68651161fc1a5!8m2!3d21.8340102!4d83.9182889",Exact,
371,Orissa,Jharsuguda,MINE NO.3,0.041,MCL,Coal,G,UG,21.8432,83.9088,"Google Maps: https://www.google.ca/maps/place/Mine+No.3+Orient+Area+Coal+Mince/@21.8431024,83.9043824,1383m/data=!3m1!1e3!4m8!1m2!2m1!1smine+3+jharsuguda!3m4!1s0x3a20ddde52e2de35:0xed449122e2be3040!8m2!3d21.8431024!4d83.9087546",Exact,
372,Orissa,Jharsuguda,HIRAKHAND BUNDIA INCLINE,0.395,MCL,Coal,G,UG,21.7819,83.9151,"Google Maps: https://www.google.ca/maps/place/Hirakhand+Bundia+Mine/@21.7818363,83.9129566,692m/data=!3m2!1e3!4b1!4m5!3m4!1s0x3a20dfc8bc658e57:0xdca28822b10821e2!8m2!3d21.7818313!4d83.9151453",Exact,
373,Orissa,Jharsuguda,MINE NO.4,0,MCL,Coal,G,UG,21.8408,83.9154,"Google Maps: https://www.google.ca/maps/place/Orient+Sub-Area+Office,+MCL/@21.834015,83.9095339,15z/data=!4m12!1m6!3m5!1s0x3a20de0ed18ef2ed:0xddc68651161fc1a5!2sOrient+Colliery+Mine+No-1%262,+MCL!8m2!3d21.83401!4d83.9182886!3m4!1s0x0:0x286aa82fd089a489!8m2!3d21.8404525!4d83.9154544",Approximate: coordinates of MCL Orient Sub-Area office,
374,Orissa,Jharsuguda/ Sundergarh,Dulanga coal mine (CAPTIVE),1.54,NTPC,Coal,G,OC,21.4347,83.7985,"Environment Clearance, Dulanga Opencast Coal Mining Project: https://www.ntpc.co.in/download/dulanga-coal-mining-project",Exact,
375,Orissa,Sundergarh,KULDA,13.627,MCL,Coal,G,OC,22.034,83.7421,"Half-Yearly Compliance Report of Environmental Conditions, Kulda OCP: http://www.mahanadicoal.in/Environment/pdf/EC%20Half%20Yearly/HYC_OCT18-MAR19/Kulda%20OCP.pdf",Exact,
376,Orissa,Sundergarh,GARJANBAHAL,7.592,MCL,Coal,G,OC,22.0108,83.7576,Pre-feasibility Report for Garjanbahal Open Cast Project: http://environmentclearance.nic.in/writereaddata/Online/TOR/0_0_30_Mar_2015_1657157371PFR.pdf,Exact,
377,Orissa,Sundergarh,BASUNDHARA (W),1.82,MCL,Coal,G,OC,22.0699,83.6892,EIA & EMP for Basundhara (West) Extension OCP: http://environmentclearance.nic.in/writereaddata/EIA/24102019IBF6IN7BEIAEMP.pdf,Exact,
378,Orissa,Sambalpur,Talabira II,0.00001,NLC Ltd,Coal,G,OC,21.7344,83.9917,"Google Maps: https://www.google.ca/maps/place/Talabira+Mines/@21.7330794,83.9869377,693m/data=!3m1!1e3!4m5!3m4!1s0x3a211e3ceb1523bf:0xf261249e8da28f9!8m2!3d21.73439!4d83.991712",Approximate: coordinates of general Talabira mines area,
